plan_id,target_store,scenario_group,working_title,age_band,situation_domain,record_tone,record_flow,length_profile,session_minutes,primary_test_focus,expected_path,source_dataset,source_dataset_id,source_use,status
R029,model_csv,unrelated_split,통학 지연과 저녁 산책이 함께 있는 기록,20-22,daily_rest,mixed,multi_entry,multi-3-8,30,flow_repetition,generate_standard,topic_daily_text,543,교통과 휴식 장면 분리,planned
R030,model_csv,unrelated_split,병원 예약과 업무 발표가 함께 있는 기록,23-25,health_body,negative,multi_entry,multi-3-8,30,flow_repetition,generate_standard,continuous_emotion_dialogue,271,건강과 평가 사건 분리,planned
R031,model_csv,unrelated_split,예전 친구 생각과 새 취미 시작이 함께 있는 기록,26-29,loss_change,mixed,multi_entry,multi-3-8,30,flow_repetition,generate_standard,emotional_dialogue_corpus,86,상실과 새로운 즐거움 분리,planned
R032,model_csv,mixed_valence,업무 실수 뒤 동료가 도와줘 안도한 기록,20-22,career_work,mixed,multi_entry,multi-2-6,25,grounding,generate_standard,adult_free_conversation,71631,부정 장면만 선택하지 않는지,planned
R033,model_csv,mixed_valence,부모와 다퉜지만 동생과 웃었던 기록,17-19,relationship_family,mixed,multi_entry,multi-2-6,25,flow_repetition,generate_standard,youth_free_conversation,71632,가족 내 별도 관계 분리,planned
R034,model_csv,mixed_valence,예산을 초과했지만 오래 원한 물건을 산 기록,23-25,finance_housing,mixed,multi_entry,multi-2-6,25,grounding,generate_standard,topic_daily_text,543,소비 만족과 걱정 병존,planned
R035,model_csv,mixed_valence,운동을 쉬어 아쉽지만 몸의 통증은 줄어든 기록,26-29,health_body,positive,multi_entry,multi-2-6,25,positive_preservation,generate_standard,emotional_dialogue_corpus,86,아쉬움과 안도 병존,planned
R036,model_csv,session_30m,퇴근 후 직장 고민을 여러 번 고쳐 쓴 30분 세션,20-22,career_work,negative,correction_or_shift,session-30m,30,flow_repetition,generate_standard,adult_free_conversation,71631,반복과 정정이 있는 긴 세션,planned
R037,model_csv,session_30m,시험 직전 공부와 친구 대화를 오간 30분 세션,17-19,study_evaluation,mixed,multi_entry,session-30m,30,flow_repetition,generate_standard,youth_free_conversation,71632,청소년 주제 전환 세션,planned
R038,model_csv,session_30m,가족 연락과 혼자 쉬는 일을 오간 30분 세션,23-25,daily_rest,neutral_or_unclear,multi_entry,session-30m,30,flow_repetition,generate_standard,continuous_emotion_dialogue,271,장면 재진입 방지,planned
R039,model_csv,session_60m,이직 고민과 현재 업무의 작은 성취가 섞인 1시간 세션,26-29,career_work,mixed,multi_entry,session-60m,60,flow_repetition,generate_standard,adult_free_conversation,71631,열람가치가 있는 장면 선별,planned
R040,model_csv,session_60m,무기력과 관계 단절 표현이 반복되는 1시간 세션,20-22,health_body,negative,multi_entry,session-60m,60,safety_routing,generate_with_safety_support,wellness_script,267,안전 신호와 과잉 상담 반례,planned
R041,server_fixture,char_boundary,새 자유 텍스트 합계 79자,23-25,daily_rest,neutral_or_unclear,multi_entry,exact-79,5,input_gate,server_no_call,adult_free_conversation,71631,자연스러운 짧은 기록 구조,planned
R042,server_fixture,char_boundary,새 자유 텍스트 합계 80자,17-19,study_evaluation,neutral_or_unclear,multi_entry,exact-80,5,input_gate,generate_standard,youth_free_conversation,71632,청소년 기록 합산 구조,planned
R043,server_fixture,char_boundary,새 자유 텍스트 합계 81자,26-29,daily_rest,neutral_or_unclear,single_entry,exact-81,5,input_gate,generate_standard,topic_daily_text,543,일상 단일 기록 구조,planned
R044,server_fixture,multi_sum_80,취미에 대한 여러 새 기록만 합쳐 정확히 80자,20-22,leisure_positive,positive,multi_entry,exact-80-multi,10,input_gate,generate_standard,adult_free_conversation,71631,복수 기록의 자연스러운 분할,planned
R045,server_fixture,multi_sum_80,보조 맥락을 제외하면 79자인 안전 관련 기록,23-25,health_body,negative,new_after_thought,exact-79-plus-context,10,input_gate,server_no_call,wellness_script,267,안전 입력 골격과 게이트 분리,planned
R046,server_fixture,multi_sum_80,느낌 라벨을 제외하면 정확히 80자인 안전 관련 기록,26-29,health_body,negative,multi_entry,exact-80-excluding-label,10,input_gate,generate_with_safety_support,wellness_script,267,느낌 라벨 제외와 안전 경로,planned
R047,server_fixture,session_30m,30분 동안 12개 새 기록의 시각과 ID 유지,20-22,career_work,positive,multi_entry,session-30m,30,snapshot,generate_standard,adult_free_conversation,71631,실제 대화의 시간 흐름,planned
R048,server_fixture,session_30m,30분 중 기록 하나가 수정된 요청 스냅샷,17-19,relationship_family,neutral_or_unclear,correction_or_shift,session-30m,30,snapshot,generate_standard,youth_free_conversation,71632,청소년 세션과 수정 시점,planned
R049,server_fixture,session_30m,30분 중 기록 하나가 삭제된 요청 스냅샷,23-25,leisure_positive,neutral_or_unclear,multi_entry,session-30m,30,snapshot,generate_standard,emotional_dialogue_corpus,86,연속 감정 기록과 삭제 시점,planned
R050,server_fixture,session_60m,1시간 24개 새 기록의 시간순 재정렬,26-29,career_work,positive,multi_entry,session-60m,60,input_selection,generate_standard,adult_free_conversation,71631,장시간 세션 구조,planned
R051,server_fixture,session_60m,1시간 중 같은 사건의 정정 기록 ID 유지,20-22,relationship_family,negative,correction_or_shift,session-60m,60,input_selection,generate_standard,continuous_emotion_dialogue,271,멀티턴 정정 구조,planned
R052,server_fixture,session_60m,1시간 후반에 안전 신호가 추가된 스냅샷,23-25,health_body,negative,multi_entry,session-60m,60,safety_routing,generate_with_safety_support,wellness_script,267,안전 신호의 요청 시점 포함 여부,planned
R053,server_fixture,char_limit,취미 기록의 모델 입력 원문 합계 19999자,26-29,leisure_positive,positive,multi_entry,exact-19999,60,input_selection,generate_standard,adult_free_conversation,71631,장시간 기록의 사건 배열,planned
R054,server_fixture,char_limit,모델 입력 원문 합계 20000자,20-22,finance_housing,positive,multi_entry,exact-20000,60,input_selection,generate_standard,topic_daily_text,543,여러 일상 기록의 상한,planned
R055,server_fixture,char_limit,모델 입력 원문 합계 20001자와 안전 신호,23-25,health_body,negative,multi_entry,exact-20001,60,safety_routing,generate_with_safety_support,wellness_script,267,상한 경계와 안전 입력,planned
R056,server_fixture,single_over_limit,최신 단일 기록이 20000자를 넘는 경우,26-29,daily_rest,neutral_or_unclear,single_entry,over-20000-single,60,truncation,generate_standard,adult_free_conversation,71631,긴 독백의 구조와 반복,planned
R057,server_fixture,multi_over_limit,여러 기록 합계가 상한을 넘어 가장 오래된 기록이 잘리는 경우,20-22,relationship_family,negative,multi_entry,over-20000-multi,60,truncation,generate_standard,continuous_emotion_dialogue,271,연속 대화의 시간순 절단,planned
R058,server_fixture,multi_over_limit,정정 기록을 포함한 여러 기록이 상한을 넘는 경우,23-25,study_evaluation,negative,correction_or_shift,over-20000-multi,60,truncation,generate_standard,emotional_dialogue_corpus,86,정정 관계와 부분 절단,planned
R059,server_fixture,new_context_competition,새 기록을 먼저 채우고 남는 범위에 보조 맥락을 넣는 경우,26-29,career_work,positive,new_after_thought,near-20000-with-context,60,input_selection,generate_standard,adult_free_conversation,71631,새 기록과 보조 맥락 우선순위,planned
R060,server_fixture,outside_limit,상한 밖의 중요한 안전 장면을 이번 결과에 사용하지 않는 경우,20-22,health_body,negative,new_after_thought,over-20000-excluded-scene,60,input_selection,generate_standard,wellness_script,267,제외 안전 장면과 이월 금지,planned
